25:1
18:22;6,6
13:22;5,4,5
12:20;6,5,5,4,5
15:19;6,6,5,5,6
20:20;7,7,6,6
24:22;8,8,8,8,8,7,6
7:22;4,4,4,4,4,4,5,4,5
4:20;5,5,5,4,4,4,4,4,4,4,4,5
27:19;7,7,7,8,8,8,8,8,7,6
30:21;7,7,8,8,8,8,8,8,8,8,8,7
23:15;1,1,8,8,7,7,6,6,6,6,6,6,6,6
16:12;6,6,6,6,6,6,6,6,6,6,5,6
17:8;6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
16:4;6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
22:13;8,8,7,6,6,6,6,6,7,6,6,6,6
12:10;3,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5
11:8;5,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5
22:3;7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6
23:6;1,8,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
